source_warehouse,destination_warehouse,dbd,Quantity,Count_Box_ID,box_final_status,last_unloaded_node_id,NextStop,Flag,DBD Time,Local/Zonal Flag,LT time,Breach,Flag,Source City
ben_hos_wh_nl_02nl,vij_102_wh_hl_01,2026-05-10 16:30:00,2,1,Source Grid,,hyd_gsh_wh_nl_01nl,FALSE,16:30,#N/A,2026-05-11 14:30:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,ben_166_wh_hl_01,2026-05-21 0:00:00,102,10,XD Grid,Anekal Grocery_NL HL Sourcing Hub,ane_gsh_wh_nl_01nl,FALSE,0:00,#N/A,2026-05-21 22:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,vel_103_wh_hl_01,2026-05-19 4:00:00,54,4,XD Grid,Chennai Grocery_NL HL Sourcing hub,che_gsh_wh_nl_01nl,FALSE,4:00,#N/A,2026-05-20 2:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,ben_007_wh_hl_01,2026-05-09 12:30:00,60,1,Source Grid,,ane_gsh_wh_nl_01nl,FALSE,12:30,#N/A,2026-05-10 10:30:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,rte_103_wh_hl_01,2026-05-20 0:00:00,127,7,On wheels,Anjaneya_Hyperlocal_01,rte_103_wh_hl_01,TRUE,0:00,#N/A,2026-05-20 22:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,hyd_155_wh_hl_01,2026-05-16 16:30:00,12,1,XD Grid,Anjaneya_Hyperlocal_01,hyd_155_wh_hl_01,TRUE,16:30,#N/A,2026-05-17 14:30:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,hyd_180_wh_hl_01,2026-05-16 16:30:00,39,2,XD Grid,Hyderabad Grocery NL SH_DS,hyd_gsh_wh_nl_02nl,FALSE,16:30,#N/A,2026-05-17 14:30:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,ben_062_wh_hl_01,2026-05-21 4:00:00,59,6,XD Grid,Site_062_B_Cox Town,ben_062_wh_hl_01,TRUE,4:00,#N/A,2026-05-22 2:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,che_157_wh_hl_01,2026-05-21 4:00:00,52,7,XD Grid,Chennai Grocery_NL HL Sourcing hub,che_gsh_wh_nl_01nl,FALSE,4:00,#N/A,2026-05-22 2:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,hyd_127_wh_hl_01,2026-05-21 4:00:00,37,3,On wheels,Hyderabad Grocery_NL HL Sourcing hub,hyd_gsh_wh_nl_01nl,FALSE,4:00,#N/A,2026-05-22 2:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,ben_112_wh_hl_01,2026-05-16 12:30:00,30,1,Source Grid,,ben_112_wh_hl_01,TRUE,12:30,#N/A,2026-05-17 10:30:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,ben_118_wh_hl_01,2026-05-14 12:30:00,62,1,On wheels,Anekal Grocery_NL HL Sourcing Hub,ane_gsh_wh_nl_01nl,FALSE,12:30,#N/A,2026-05-15 10:30:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,tri_102_wh_hl_01,2026-05-14 12:30:00,82,4,XD Grid,Coimbatore Grocery NL SH_DS,coi_gsh_wh_nl_02nl,FALSE,12:30,#N/A,2026-05-15 10:30:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,ben_057_wh_hl_01,2026-05-15 4:00:00,7,2,Source Grid,,ben_057_wh_hl_01,TRUE,4:00,#N/A,2026-05-16 2:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,ben_235_wh_hl_01,2026-05-15 4:00:00,48,1,Source Grid,,ben_235_wh_hl_01,TRUE,4:00,#N/A,2026-05-16 2:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,hyd_108_wh_hl_01,2026-05-17 4:00:00,9,1,XD Grid,Hyderabad Grocery_NL HL Sourcing hub,hyd_gsh_wh_nl_01nl,FALSE,4:00,#N/A,2026-05-18 2:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,ben_003_wh_hl_01,2026-05-17 4:00:00,59,1,On wheels,,ben_003_wh_hl_01,TRUE,4:00,#N/A,2026-05-18 2:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,ben_227_wh_hl_01,2026-05-13 12:30:00,69,4,XD Grid,Anekal Grocery_NL HL Sourcing Hub,ane_gsh_wh_nl_01nl,FALSE,12:30,#N/A,2026-05-14 10:30:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,hyd_159_wh_hl_01,2026-05-13 4:00:00,20,1,XD Grid,Hyderabad Grocery_NL HL Sourcing hub,hyd_gsh_wh_nl_01nl,FALSE,4:00,#N/A,2026-05-14 2:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,hyd_131_wh_hl_01,2026-05-13 4:00:00,33,3,XD Grid,Hyderabad Grocery_NL HL Sourcing hub,hyd_gsh_wh_nl_01nl,FALSE,4:00,#N/A,2026-05-14 2:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,ben_136_wh_hl_01,2026-05-14 0:00:00,53,1,XD Grid,Anekal Grocery_NL HL Sourcing Hub,ane_gsh_wh_nl_01nl,FALSE,0:00,#N/A,2026-05-14 22:00:00,Breach,1.Past DBD,Bangalore
ane_gsh_wh_nl_01nl,ben_017_wh_hl_01,2026-05-24 18:00:00,114,4,Source Grid,,ben_017_wh_hl_01,TRUE,18:00,#N/A,2026-05-25 16:00:00,Not Breached,3.Future,Anekal
ben_hos_wh_nl_02nl,rka_112_wh_hl_01,2026-05-24 0:00:00,310,17,Source Grid,,rka_112_wh_hl_01,TRUE,0:00,#N/A,2026-05-24 22:00:00,Not Breached,3.Future,Bangalore
ben_hos_wh_nl_02nl,rka_116_wh_hl_01,2026-05-24 0:00:00,135,9,Source Grid,,rka_116_wh_hl_01,TRUE,0:00,#N/A,2026-05-24 22:00:00,Not Breached,3.Future,Bangalore
ben_hos_wh_nl_02nl,ben_194_wh_hl_01,2026-05-11 12:30:00,1,1,XD Grid,Anekal Grocery_NL HL Sourcing Hub,ane_gsh_wh_nl_01nl,FALSE,12:30,#N/A,2026-05-12 10:30:00,Breach,1.Past DBD,Bangalore
ulu_sh_wh_nl_01nl,kol_184_wh_hl_01,2026-05-24 18:00:00,240,5,Source Grid,,kol_184_wh_hl_01,TRUE,18:00,#N/A,2026-05-25 16:00:00,Not Breached,3.Future,Kolkata
ben_hos_wh_nl_02nl,tri_104_wh_hl_01,2026-05-11 12:30:00,97,5,XD Grid,Hyderabad Grocery_NL HL Sourcing hub,hyd_gsh_wh_nl_01nl,FALSE,12:30,#N/A,2026-05-12 10:30:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,ben_123_wh_hl_01,2026-05-11 12:30:00,57,2,Source Grid,,ben_123_wh_hl_01,TRUE,12:30,#N/A,2026-05-12 10:30:00,Breach,1.Past DBD,Bangalore
hyd_gsh_wh_nl_01nl,hyd_124_wh_hl_01,2026-05-24 18:00:00,65,3,On wheels,,hyd_124_wh_hl_01,TRUE,18:00,#N/A,2026-05-25 16:00:00,Not Breached,3.Future,Hyderabad
ben_hos_wh_nl_02nl,rka_128_wh_hl_01,2026-05-15 16:30:00,36,2,Source Grid,,rka_128_wh_hl_01,TRUE,16:30,#N/A,2026-05-16 14:30:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,hyd_134_wh_hl_01,2026-05-18 16:30:00,209,27,XD Grid,Anjaneya_Hyperlocal_01,hyd_134_wh_hl_01,TRUE,16:30,#N/A,2026-05-19 14:30:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,hyd_189_wh_hl_01,2026-05-18 16:30:00,399,21,XD Grid,Anjaneya_Hyperlocal_01,hyd_189_wh_hl_01,TRUE,16:30,#N/A,2026-05-19 14:30:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,che_196_wh_hl_01,2026-05-18 16:30:00,81,5,XD Grid,Anjaneya_Hyperlocal_01,che_196_wh_hl_01,TRUE,16:30,#N/A,2026-05-19 14:30:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,hyd_120_wh_hl_01,2026-05-15 4:00:00,48,4,XD Grid,Anjaneya_Hyperlocal_01,hyd_120_wh_hl_01,TRUE,4:00,#N/A,2026-05-16 2:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,hyd_102_wh_hl_01,2026-05-15 4:00:00,72,2,XD Grid,Hyderabad Grocery NL SH_DS,hyd_gsh_wh_nl_02nl,FALSE,4:00,#N/A,2026-05-16 2:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,hyd_138_wh_hl_01,2026-05-20 4:00:00,12,2,XD Grid,Anjaneya_Hyperlocal_01,hyd_138_wh_hl_01,TRUE,4:00,#N/A,2026-05-21 2:00:00,Breach,1.Past DBD,Bangalore
ben_hos_wh_nl_02nl,vel_103_wh_hl_01,2026-05-10 12:30:00,55,5,XD Grid,Chennai Grocery_NL HL Sourcing hub,che_gsh_wh_nl_01nl,FALSE,12:30,#N/A,2026-05-11 10:30:00,Breach,1.Past DBD,Bangalore
